"ACTS Test Suite Generation: Wed Dec 28 18:44:28 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 17"
"Maximum number of values per parameter: 5"
"Number of configurations: 100"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","extra_0_1_N5YGK3STMV2HI2LOM5ZQ_KN2HE2LOM4","extra_0_2_N5YGK3SDN5XGM2LHJ5XE2YLQ_KN2HE2LOM4","extra_0_3_MVSGS5DFMRIHE33GNFWGK_KN2HE2LOM4","extra_0_4_MRQXIYI_KN2HE2LOM4","extra_0_5_N5YGK3S7NVQXAX3NMFZGWZLSONPWO4TPOVYHG_IJ2W4ZDMMU","extra_0_7_ONUG6527N5ZW2YLOMRPXOZLMMNXW2ZK7ONRXEZLFNY_MJXW63DFMFXA","extra_5_6_NVQXE23FOJZV643ZNZRV6Z3SN52XAX3JMQ_KN2HE2LOM4","path","scheme","type"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","openMapConfigMenu","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","$#EMPTY#$","$#EMPTY#$","null","$#NULL#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","openScreenConfigMenu","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.VIEW","$#NULL#$","$#NOTEMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","openMapConfigMenu","$#NULL#$","$#EMPTY#$","$#EMPTY#$","true","$#NULL#$","$#NULL#$","null","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.VIEW","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","$#NOTEMPTY#$","$#EMPTY#$","null","$#EMPTY#$"
"android.intent.action.VIEW","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","openScreenConfigMenu","$#NULL#$","$#EMPTY#$","$#NULL#$","true","$#NULL#$","$#NULL#$","null","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","openMapConfigMenu","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","openConfigProfile","openScreenConfigMenu","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.VIEW","$#NULL#$","$#NOTEMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","openConfigProfile","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$","true","$#NULL#$","$#EMPTY#$","null","$#NULL#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#EMPTY#$","$#NOTEMPTY#$","openConfigProfile","openMapConfigMenu","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","openConfigProfile","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","true","$#NOTEMPTY#$","$#NULL#$","null","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#EMPTY#$","$#NOTEMPTY#$","openConfigProfile","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","openScreenConfigMenu","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","openScreenConfigMenu","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#EMPTY#$","$#NULL#$","$#EMPTY#$","openScreenConfigMenu","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NULL#$","$#EMPTY#$","openScreenConfigMenu","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","openScreenConfigMenu","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","null","$#EMPTY#$"
"$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","openScreenConfigMenu","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","null","$#EMPTY#$"
